relativeUrl;acronym;name;admin
https://www.fundsexplorer.com.br/funds/xpci11;XPCI11;XP CREDITO IMOBILIÁRIO - FDO INV IMOB;Vortx
https://www.fundsexplorer.com.br/funds/xpcm11;XPCM11;XP CORPORATE MACAÉ FDO INV IMOB - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/xpht11;XPHT11;XP HOTÉIS - FDO INV IMOB - FII;Geração Futuro
https://www.fundsexplorer.com.br/funds/xpin11;XPIN11;XP INDUSTRIAL FDO INV IMOB - FII;Vortx
https://www.fundsexplorer.com.br/funds/xplg11;XPLG11;XP LOG FDO INV IMOB - FII;XP Investimentos
https://www.fundsexplorer.com.br/funds/xpml11;XPML11;XP MALLS FDO INV IMOB FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/xppr11;XPPR11;XP PROPERTIES FDO. INV. IMOB.;Vortx
https://www.fundsexplorer.com.br/funds/xpsf11;XPSF11;XP SELECTION FDO DE FUNDOS INV IMOB - FII;XP Investimentos
https://www.fundsexplorer.com.br/funds/xted11;XTED11;TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/ychy11;YCHY11;YAGUARA CAPITAL HIGH YIELD FDO INV IMOB;Vortx
https://www.fundsexplorer.com.br/funds/yufi11b;YUFI11B;YUCA FDO INV. IMOB.;BRL Trust Investimentos
